keyword,search_volume,keyword_difficulty,best_competitor_pos,position_gap,opportunity_score,intent,ranking_competitors
canyon x tours,12100,2,23,77,465850,informational,tours
antelope tour page,74000,46,17,83,133522,navigational,tours
antelope slot canyon tours,74000,49,14,86,129878,commercial,tours
antelope canyon tours az,74000,49,21,79,119306,informational,tours
antelope canyon tours from page,74000,49,23,77,116286,navigational,tours
horseshoe trailhead,6600,6,3,97,106700,navigational,co|nps
antelope canyon tours,74000,49,35,65,98163,informational,tours
page city arizona,33100,32,15,85,87922,navigational,co
horseshoe point,880,1,6,94,82720,informational,co|nps
page az,40500,32,36,64,81000,navigational,tours
roam america horseshoe bend,2900,2,49,51,73950,navigational,co
page city az,33100,32,32,68,70338,navigational,co|tours
horseshoe trail,6600,8,19,81,66825,informational,nps
page usa arizona,33100,32,36,64,66200,navigational,tours
antelope canyon tours by carolene ekis,6600,7,39,61,57514,navigational,tours
antelope canyon navajo tours,22200,32,27,73,50644,commercial,tours
22 s lake powell blvd page az 86040,1300,2,24,76,49400,navigational,tours
dixie's lower antelope canyon tours,18100,19,49,51,48584,informational,tours
tse bighanilini tours,3600,6,31,69,41400,informational,tours
waterhole canyon experience llc,1600,3,26,74,39467,navigational,tours
horseshoe utah,6600,17,10,90,34941,informational,co
black streak canyon tours,1600,5,27,73,23360,informational,tours
lower antelope canyon tours,8100,34,15,85,20250,informational,tours
horseshoe canyon,6600,37,6,94,16768,informational,co
antelope canyon dixie tours,2400,10,35,65,15600,navigational,tours
vegas to antelope canyon,1900,7,44,56,15200,informational,tours
horseshoe reservoir,1000,6,21,79,13167,navigational,co|nps
slot canyons arizona,2900,18,24,76,12244,informational,tours
horseshoe bend park,1300,14,4,96,8914,navigational,co
antelope canyon tickets,5400,52,15,85,8827,transactional,tours
antelope canyon arizona to grand canyon,1000,10,44,56,5600,informational,tours
best antelope canyon tour,1000,21,17,83,3952,informational,tours
arizona visitor guide,880,20,21,79,3476,informational,co
dixie antelope canyon,880,19,38,62,2872,informational,tours
antelope slot canyon page arizona,1600,49,15,85,2776,navigational,tours
page utah,1300,45,17,83,2398,navigational,co
guided tour upper antelope canyon,1000,31,29,71,2290,informational,tours
antelope canyon booking,1000,53,20,80,1509,transactional,tours
navajo canyon tours,880,49,24,76,1365,informational,tours
antelope canyon reservations,1000,52,31,69,1327,transactional,tours
